repo_names,name,react_1,react_3,react_5,react_6,react_7,react_9,react_11,react_12,react_14,react_23,react_26,react_30,react_31,react_36,react_43,react_54,react_59,react_67,react_70,react_72,react_73,react_74,react_78,react_79,react_80,react_81,react_84,react_89,react_94,react_97,react_99,react_101,sustainability_score
public-apis/public-apis,public-apis,True,1,False,True,0,False,0,True,1097.9458333333334,0,True,True,1,0,1,3,1,0,True,3.5384615384615383,False,False,False,1,0.5,True,2.5,False,False,True,0,False,29.8874
donnemartin/system-design-primer,system-design-primer,True,1,False,False,0,False,0,False,1456.6018312757203,0,False,False,1,0,1,3,1,0,False,3.4000000000000004,False,True,False,1,0.6000000000000001,True,2.5,True,True,True,0,False,6.0945
TheAlgorithms/Python,Python,False,1,True,True,0,False,0,True,35.318570261437905,0,True,True,1,0,2,4,1,0,True,3.7,True,False,True,1,0.5,True,3.25,False,True,True,1,False,59.8044
Significant-Gravitas/AutoGPT,AutoGPT,True,8,True,True,0,False,0,False,50.21438184663537,0,False,True,1,0,1,4,1,0,True,3.727272727272727,True,False,True,1,0.6000000000000001,True,4.0,True,True,True,1,True,79.9014
AUTOMATIC1111/stable-diffusion-webui,stable-diffusion-webui,True,2,True,True,1,False,0,True,543.0689097222222,0,True,True,1,0,1,3,1,0,False,4.090909090909091,True,False,True,1,0.2,True,0.25,False,False,True,1,True,54.8685
huggingface/transformers,transformers,True,3,True,True,0,False,0,True,47.09121527777778,0,False,True,1,0,1,3,1,0,False,3.6666666666666665,True,True,True,1,0.6000000000000001,True,2.0,True,True,True,0,True,79.9671
yt-dlp/yt-dlp,yt-dlp,False,1,True,True,1,False,0,False,115.90527450980392,0,False,True,1,0,0,4,1,0,True,4.0,True,False,False,1,0.5,True,4.75,True,False,True,0,True,65.0589
521xueweihan/HelloGitHub,HelloGitHub,False,1,True,False,0,False,0,False,38.64736928104576,0,False,False,1,0,1,2,1,0,True,4.125,True,False,False,1,0.4,True,2.5,False,False,False,0,False,21.117
deepseek-ai/DeepSeek-V3,DeepSeek-V3,False,1,False,True,0,False,0,True,79.14235294117647,0,False,True,1,0,1,5,1,0,True,4.300000000000001,True,False,False,1,0.4,True,0.5,False,False,True,0,False,22.0458
nvbn/thefuck,thefuck,True,1,True,False,1,False,0,True,1422.6566283524903,0,True,True,0,1,1,4,1,0,False,3.2222222222222223,True,False,True,1,0.5,True,2.5,False,False,True,0,True,25.7656
pytorch/pytorch,pytorch,True,6,False,True,1,False,0,False,32.5025,0,False,True,1,0,2,3,1,0,False,3.3000000000000003,True,False,True,1,0.6000000000000001,True,2.5,False,True,True,0,True,79.9671
fastapi/fastapi,fastapi,False,2,True,True,0,False,0,True,164.1285533910534,0,True,True,1,0,1,4,1,0,False,3.8181818181818175,True,True,True,1,0.5,True,1.25,False,False,True,1,False,65.1904
