repo_names,name,react_1,react_3,react_5,react_6,react_7,react_9,react_11,react_12,react_14,react_23,react_26,react_30,react_31,react_36,react_43,react_54,react_59,react_67,react_70,react_72,react_73,react_74,react_78,react_79,react_80,react_81,react_84,react_89,react_94,react_97,react_99,react_101,sustainability_score
public-apis/public-apis,public-apis,True,0.0,False,True,0.0,False,0,True,0.46131162579455043,False,True,True,True,0.0,0.5,0.6,True,0,True,0.7582417582417583,False,False,False,True,0.625,True,0.5263157894736842,False,False,True,False,False,29.8874
donnemartin/system-design-primer,system-design-primer,True,0.0,False,False,0.0,False,0,False,0.6120041066881308,False,False,False,True,0.0,0.5,0.6,True,0,False,0.7285714285714288,False,True,False,True,0.7500000000000001,True,0.5263157894736842,True,True,True,False,False,6.0945
TheAlgorithms/Python,Python,False,0.0,True,True,0.0,False,0,True,0.014839408806332716,False,True,True,True,0.0,1.0,0.8,True,0,True,0.792857142857143,True,False,True,True,0.625,True,0.6842105263157895,False,True,True,True,False,59.8044
Significant-Gravitas/AutoGPT,AutoGPT,True,1.0,True,True,0.0,False,0,False,0.021098015425417664,False,False,True,True,0.0,0.5,0.8,True,0,True,0.7987012987012988,True,False,True,True,0.7500000000000001,True,0.8421052631578947,True,True,True,True,True,79.9014
AUTOMATIC1111/stable-diffusion-webui,stable-diffusion-webui,True,0.14285714285714285,True,True,0.3333333333333333,False,0,True,0.22817519230602504,False,True,True,True,0.0,0.5,0.6,True,0,False,0.8766233766233767,True,False,True,True,0.25,True,0.05263157894736842,False,False,True,True,True,54.8685
huggingface/transformers,transformers,True,0.2857142857142857,True,True,0.0,False,0,True,0.019785789445076907,False,False,True,True,0.0,0.5,0.6,True,0,False,0.7857142857142858,True,True,True,True,0.7500000000000001,True,0.42105263157894735,True,True,True,False,True,79.9671
yt-dlp/yt-dlp,yt-dlp,False,0.0,True,True,0.3333333333333333,False,0,False,0.04869862337375293,False,False,True,True,0.0,0.0,0.8,True,0,True,0.8571428571428572,True,False,False,True,0.625,True,1.0,True,False,True,False,True,65.0589
521xueweihan/HelloGitHub,HelloGitHub,False,0.0,True,False,0.0,False,0,False,0.0162380330745414,False,False,False,True,0.0,0.5,0.4,True,0,True,0.8839285714285715,True,False,False,True,0.5,True,0.5263157894736842,False,False,False,False,False,21.117
deepseek-ai/DeepSeek-V3,DeepSeek-V3,False,0.0,False,True,0.0,False,0,True,0.03325235762647693,False,False,True,True,0.0,0.5,1.0,True,0,True,0.9214285714285717,True,False,False,True,0.5,True,0.10526315789473684,False,False,True,False,False,22.0458
nvbn/thefuck,thefuck,True,0.0,True,False,0.3333333333333333,False,0,True,0.5977417302820927,False,True,True,False,1.0,0.5,0.8,True,0,False,0.6904761904761906,True,False,True,True,0.625,True,0.5263157894736842,False,False,True,False,True,25.7656
pytorch/pytorch,pytorch,True,0.7142857142857143,False,True,0.3333333333333333,False,0,False,0.013656212048154204,False,False,True,True,0.0,1.0,0.6,True,0,False,0.7071428571428573,True,False,True,True,0.7500000000000001,True,0.5263157894736842,False,True,True,False,True,79.9671
fastapi/fastapi,fastapi,False,0.14285714285714285,True,True,0.0,False,0,True,0.06896005932666792,False,True,True,True,0.0,0.5,0.8,True,0,False,0.8181818181818181,True,True,True,True,0.625,True,0.2631578947368421,False,False,True,True,False,65.1904
openai/whisper,whisper,False,0.0,True,False,0.0,False,0,True,0.3374240147558386,False,True,True,True,0.0,0.5,0.8,True,0,False,0.774725274725275,False,False,False,True,0.5,True,0.5263157894736842,False,True,True,False,False,28.2053
tensorflow/models,models,True,0.2857142857142857,True,True,0.0,False,0,False,0.4403283634024119,False,False,True,True,0.0,0.5,0.4,True,0,True,0.8809523809523809,False,True,False,True,0.875,True,0.5263157894736842,False,False,True,False,True,67.7479
3b1b/manim,manim,True,0.0,True,False,0.0,False,0,True,0.4136401824950072,False,False,True,True,0.0,0.5,0.8,True,0,True,0.8376623376623378,True,False,True,True,0.5,True,0.05263157894736842,False,False,True,True,True,39.2372
fighting41love/funNLP,funNLP,False,0.0,True,False,0.0,False,0,False,0.7636471419529917,False,False,False,True,1.0,0.5,0.2,True,0,True,0.6857142857142858,True,False,False,True,0.25,True,0.0,False,False,True,True,False,12.4637
comfyanonymous/ComfyUI,ComfyUI,True,0.0,True,True,0.0,False,0,True,0.023827796462618428,False,False,True,True,0.0,0.5,0.4,True,0,False,0.8571428571428572,True,False,True,True,0.625,True,0.15789473684210525,True,False,True,False,True,74.9342
