name,repo_names,sustainability_score
public-apis,public-apis/public-apis,29.8874
system-design-primer,donnemartin/system-design-primer,6.0945
Python,TheAlgorithms/Python,59.8044
AutoGPT,Significant-Gravitas/AutoGPT,79.9014
stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,54.8685
transformers,huggingface/transformers,79.9671
yt-dlp,yt-dlp/yt-dlp,65.0589
HelloGitHub,521xueweihan/HelloGitHub,21.117
DeepSeek-V3,deepseek-ai/DeepSeek-V3,22.0458
thefuck,nvbn/thefuck,25.7656
pytorch,pytorch/pytorch,79.9671
fastapi,fastapi/fastapi,65.1904
whisper,openai/whisper,28.2053
models,tensorflow/models,67.7479
manim,3b1b/manim,39.2372
funNLP,fighting41love/funNLP,12.4637
ComfyUI,comfyanonymous/ComfyUI,74.9342
devops-exercises,bregman-arie/devops-exercises,24.0273
screenshot-to-code,abi/screenshot-to-code,43.4576
gpt_academic,binary-husky/gpt_academic,54.2963
d2l-zh,d2l-ai/d2l-zh,38.9643
cpython,python/cpython,74.9671
PayloadsAllTheThings,swisskyrepo/PayloadsAllTheThings,59.7795
gpt4free,xtekky/gpt4free,74.9233
sherlock,sherlock-project/sherlock,54.8356
keras,keras-team/keras,79.8466
new-pac,Alvin9999/new-pac,48.6557
annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,44.2589
open-interpreter,OpenInterpreter/open-interpreter,44.594
localstack,localstack/localstack,79.9014
llama,meta-llama/llama,26.2149
private-gpt,zylon-ai/private-gpt,30.2527
face_recognition,ageitgey/face_recognition,16.062
Real-Time-Voice-Cloning,CorentinJ/Real-Time-Voice-Cloning,5.7004
faceswap,deepfakes/faceswap,30.2354
gpt-engineer,AntonOsika/gpt-engineer,34.7047
yolov5,ultralytics/yolov5,37.7356
openpilot,commaai/openpilot,74.9452
MetaGPT,geekan/MetaGPT,74.9123
hackingtool,Z4nzu/hackingtool,18.3009
langflow,langflow-ai/langflow,79.9562
rich,Textualize/rich,44.8322
OpenHands,All-Hands-AI/OpenHands,79.9452
grok-1,xai-org/grok-1,31.9342
professional-programming,charlax/professional-programming,22.2582
PaddleOCR,PaddlePaddle/PaddleOCR,67.6603
30-Days-Of-Python,Asabeneh/30-Days-Of-Python,15.6474
browser-use,browser-use/browser-use,57.6862
Deep-Live-Cam,hacksider/Deep-Live-Cam,29.0049
LLaMA-Factory,hiyouga/LLaMA-Factory,73.4014
Fooocus,lllyasviel/Fooocus,22.7037
text-generation-webui,oobabooga/text-generation-webui,59.9024
GPT-SoVITS,RVC-Boss/GPT-SoVITS,60.2342
vllm,vllm-project/vllm,79.9781
autogen,microsoft/autogen,79.9452
ChatGLM-6B,THUDM/ChatGLM-6B,27.7349
ColossalAI,hpcaitech/ColossalAI,64.5527
stablediffusion,Stability-AI/stablediffusion,23.4535
diagrams,mingrammer/diagrams,59.0524
ailearning,apachecn/ailearning,15.9876
markitdown,microsoft/markitdown,67.8247
llama_index,run-llama/llama_index,79.9671
black,psf/black,65.4619
airflow,apache/airflow,79.9671
cheat.sh,chubin/cheat.sh,17.2368
Deep-Learning-Papers-Reading-Roadmap,floodsung/Deep-Learning-Papers-Reading-Roadmap,3.2422
TTS,coqui-ai/TTS,39.3529
streamlit,streamlit/streamlit,79.9562
FastChat,lm-sys/FastChat,40.0416
WeChatMsg,LC044/WeChatMsg,22.2365
ultralytics,ultralytics/ultralytics,79.9233
quivr,QuivrHQ/quivr,65.6463
DeepSpeed,deepspeedai/DeepSpeed,79.7479
freqtrade,freqtrade/freqtrade,79.9233
Open-Assistant,LAION-AI/Open-Assistant,38.6033
python-cheatsheet,gto76/python-cheatsheet,34.9098
OpenBB,OpenBB-finance/OpenBB,72.1603
gradio,gradio-app/gradio,79.9123
interview_internal_reference,0voice/interview_internal_reference,23.0596
GFPGAN,TencentARC/GFPGAN,12.6163
wtfpython,satwikkansal/wtfpython,21.9611
ray,ray-project/ray,79.9562
MockingBird,babysor/MockingBird,16.272
DragGAN,XingangPan/DragGAN,15.4749
chatgpt-on-wechat,zhayujie/chatgpt-on-wechat,37.9282
gym,openai/gym,38.5627
OpenManus,mannaandpoem/OpenManus,60.9562
ChatTTS,2noise/ChatTTS,35.3539
ccxt,ccxt/ccxt,79.9671
unsloth,unslothai/unsloth,69.3685
TaskMatrix,chenfei-wu/TaskMatrix,19.1096
12306,testerSunshine/12306,15.2955
pytorch-image-models,huggingface/pytorch-image-models,62.4111
crawl4ai,unclecode/crawl4ai,46.5405
XX-Net,XX-net/XX-Net,38.2767
poetry,python-poetry/poetry,64.9451
gpt-pilot,Pythagora-io/gpt-pilot,35.0421
ControlNet,lllyasviel/ControlNet,11.6286
jax,jax-ml/jax,79.9123
detectron2,facebookresearch/detectron2,37.612
